disease,symptom_1,symptom_2,symptom_3,symptom_4
Hypertension,shortness of breath,blurred vision,dizziness,
Allergy,,,itchy eyes,cough
Asthma,wheezing,difficulty breathing,fatigue,chest pain
Acid Peptic Disease,loss of appetite,stomach pain,vomiting,heartburn
Hypertension,headache,chest pain,dizziness,blurred vision
Hypertension,,,headache,dizziness
Migraine,nausea,blurred vision,,
Hypertension,,headache,,nosebleeds
COVID-19,cough,loss of taste,fever,difficulty breathing
Typhoid,headache,,stomach pain,high fever
Viral Fever,,body ache,chills,
COVID-19,,difficulty breathing,,fever
Allergy,sneezing,rash,shortness of breath,cough
Gastroenteritis,diarrhea,headache,muscle ache,stomach pain
Asthma,shortness of breath,difficulty breathing,fatigue,cough
Hypertension,nosebleeds,headache,chest pain,shortness of breath
Diabetes,,extreme hunger,unexplained weight loss,
Typhoid,high fever,,diarrhea,
Typhoid,diarrhea,high fever,loss of appetite,
Common Cold,headache,,congestion,runny nose
Typhoid,stomach pain,rash,weakness,high fever
Migraine,headache,vomiting,sensitivity to light,nausea
Diabetes,fatigue,,increased thirst,unexplained weight loss
Viral Fever,fatigue,mild cough,chills,sweating
Common Cold,fatigue,headache,,sore throat
Allergy,sneezing,,rash,
Asthma,,shortness of breath,,chest pain
Diabetes,frequent urination,increased thirst,unexplained weight loss,fatigue
Hypertension,shortness of breath,blurred vision,,chest pain
Dengue,severe headache,high fever,nausea,sensitivity to sound
Gastroenteritis,stomach pain,fever,,
Gastroenteritis,stomach pain,diarrhea,fever,vomiting
Diabetes,,extreme hunger,fatigue,
Allergy,,rash,,sneezing
Acid Peptic Disease,stomach pain,weakness,loss of appetite,
COVID-19,muscle pain,,,loss of smell
Migraine,blurred vision,sensitivity to light,vomiting,headache
Anemia,weakness,,pale skin,loss of appetite
Common Cold,sore throat,,,runny nose
Diabetes,extreme hunger,unexplained weight loss,fatigue,
Hypertension,nosebleeds,headache,chest pain,shortness of breath
Viral Fever,,fever,body ache,
Common Cold,sore throat,fever,,congestion
Diabetes,fatigue,unexplained weight loss,,extreme hunger
Malaria,nausea,chills,,vomiting
Pneumonia,,,sweating,chest pain
Viral Fever,mild cough,fever,sweating,fatigue
Anemia,dizziness,headache,cold hands and feet,weakness
Malaria,headache,,vomiting,
Acid Peptic Disease,indigestion,,heartburn,loss of appetite
Typhoid,high fever,rash,,
Malaria,muscle pain,,,sweating
Acid Peptic Disease,,,indigestion,heartburn
Common Cold,runny nose,sore throat,congestion,fatigue
Migraine,sensitivity to light,vomiting,dizziness,blurred vision
Typhoid,diarrhea,loss of appetite,,
Pneumonia,,fever,,fatigue
Dengue,muscle pain,severe headache,vomiting,rash
COVID-19,,,cough,loss of smell
Typhoid,weakness,diarrhea,stomach pain,rash
Viral Fever,fever,fatigue,headache,chills
Allergy,sneezing,weakness,cough,itchy eyes
Asthma,difficulty breathing,,shortness of breath,
Common Cold,sneezing,,fatigue,
Common Cold,sneezing,,fatigue,
Viral Fever,body ache,mild cough,chills,fever
Gastroenteritis,muscle ache,,vomiting,fever
Migraine,dizziness,,nausea,blurred vision
Pneumonia,difficulty breathing,chills,fever,
Common Cold,,congestion,,cough
Dengue,joint pain,severe headache,,unexplained weight loss
Anemia,,fatigue,,headache
Gastroenteritis,diarrhea,vomiting,headache,nausea
Dengue,joint pain,,nausea,
Common Cold,,runny nose,sore throat,
Migraine,sensitivity to sound,sensitivity to light,dizziness,
Dengue,nausea,,,vomiting
Common Cold,sore throat,cough,runny nose,sneezing
Common Cold,fatigue,,sore throat,cough
Anemia,fatigue,chest pain,cold hands and feet,headache
Asthma,cough,fatigue,wheezing,chest pain
Migraine,,,headache,dizziness
Common Cold,runny nose,headache,sore throat,
Pneumonia,cough,,,fatigue
Dengue,high fever,severe headache,joint pain,muscle pain
Viral Fever,body ache,mild cough,,
Hypertension,,,dizziness,nosebleeds
Malaria,vomiting,,chills,
Allergy,,sneezing,runny nose,itchy eyes
COVID-19,,cough,,loss of smell
Dengue,,nausea,,muscle pain
Diabetes,,,frequent urination,fatigue
Malaria,fever,,chills,headache
Typhoid,headache,loss of appetite,high fever,weakness
Pneumonia,,sweating,cough,difficulty breathing
COVID-19,muscle pain,loss of taste,fever,cough
Malaria,nausea,chills,,vomiting
Pneumonia,,,fatigue,fever
Migraine,headache,sensitivity to sound,nausea,blurred vision
Hypertension,,headache,dizziness,shortness of breath
Allergy,rash,cough,,
Pneumonia,,fatigue,fever,
Typhoid,weakness,,headache,rash
Common Cold,,fatigue,sore throat,cough
Dengue,,high fever,,severe headache
Migraine,sensitivity to sound,dizziness,blurred vision,headache
Anemia,,chest pain,,fatigue
Viral Fever,mild cough,,,chills
COVID-19,muscle pain,,cough,
Viral Fever,headache,fever,chills,body ache
Migraine,sensitivity to light,dizziness,,nausea
Migraine,vomiting,blurred vision,headache,dizziness
Common Cold,runny nose,fatigue,congestion,cough
Dengue,severe headache,joint pain,rash,high fever
Common Cold,fatigue,sneezing,runny nose,headache
Gastroenteritis,fever,headache,nausea,
Acid Peptic Disease,indigestion,nausea,heartburn,vomiting
Malaria,vomiting,sweating,headache,
Dengue,severe headache,high fever,,
Migraine,vomiting,blurred vision,,
COVID-19,loss of smell,muscle pain,loss of taste,cough
Gastroenteritis,stomach pain,vomiting,,fever
Pneumonia,chills,,chest pain,
Malaria,headache,,nausea,fever
Hypertension,,headache,chest pain,dizziness
Viral Fever,headache,fever,heartburn,fatigue
Migraine,blurred vision,,sensitivity to sound,sensitivity to light
Gastroenteritis,dizziness,fever,,headache
Pneumonia,fever,fatigue,chest pain,
COVID-19,muscle pain,loss of taste,,fever
Dengue,muscle pain,vomiting,joint pain,severe headache
Hypertension,,nosebleeds,,shortness of breath
Migraine,headache,sensitivity to sound,vomiting,dizziness
Asthma,,wheezing,cough,chest pain
Migraine,,vomiting,sensitivity to light,dizziness
Malaria,,nausea,,fever
Malaria,nausea,,muscle pain,sweating
Gastroenteritis,vomiting,nausea,shortness of breath,diarrhea
Dengue,,,joint pain,severe headache
COVID-19,,cough,,fever
Diabetes,frequent urination,extreme hunger,unexplained weight loss,blurred vision
Common Cold,runny nose,,cough,sneezing
Hypertension,,nosebleeds,chest pain,blurred vision
Diabetes,fatigue,increased thirst,extreme hunger,frequent urination
Typhoid,headache,loss of appetite,weakness,stomach pain
Diabetes,extreme hunger,increased thirst,,
Gastroenteritis,nausea,stomach pain,headache,fever
Typhoid,,diarrhea,,headache
Malaria,congestion,nausea,chills,headache
Viral Fever,body ache,fever,fatigue,headache
COVID-19,loss of smell,fatigue,cough,loss of taste
Dengue,vomiting,muscle pain,severe headache,high fever
Hypertension,,shortness of breath,nosebleeds,
Common Cold,,,runny nose,sore throat
Asthma,fatigue,wheezing,,chest pain
Malaria,sneezing,nausea,sweating,
Dengue,severe headache,nausea,rash,
Allergy,runny nose,sneezing,cough,itchy eyes
Viral Fever,mild cough,fever,body ache,chills
Common Cold,,congestion,sore throat,cough
Allergy,sneezing,cough,,itchy eyes
Common Cold,,,sore throat,congestion
Pneumonia,,chills,cough,sweating
Migraine,blurred vision,dizziness,,
Asthma,shortness of breath,fatigue,chest pain,wheezing
Migraine,sensitivity to sound,nausea,dizziness,sensitivity to light
Pneumonia,,fever,difficulty breathing,
Typhoid,loss of appetite,diarrhea,rash,
Dengue,,high fever,severe headache,muscle pain
Migraine,dizziness,sensitivity to light,vomiting,headache
Dengue,,,high fever,severe headache
Migraine,nausea,sensitivity to sound,blurred vision,dizziness
Dengue,joint pain,,high fever,
Anemia,,pale skin,fatigue,
Pneumonia,chills,fatigue,cough,chest pain
Typhoid,rash,weakness,,
Anemia,headache,,pale skin,fatigue
Migraine,vomiting,sensitivity to sound,,headache
Allergy,shortness of breath,,rash,runny nose
COVID-19,,fatigue,sneezing,loss of smell
Malaria,headache,sweating,chills,nausea
Gastroenteritis,stomach pain,vomiting,headache,nausea
Common Cold,,headache,fatigue,
Anemia,pale skin,fatigue,headache,
Pneumonia,fever,sweating,chills,cough
Asthma,,shortness of breath,cough,difficulty breathing
Common Cold,fatigue,sore throat,headache,severe headache
Hypertension,blurred vision,dizziness,shortness of breath,headache
Malaria,fever,nausea,,sweating
Allergy,rash,vomiting,itchy eyes,shortness of breath
Viral Fever,,sweating,fatigue,
Common Cold,congestion,,headache,
Acid Peptic Disease,vomiting,stomach pain,,heartburn
Pneumonia,chest pain,chills,fatigue,sweating
Gastroenteritis,blurred vision,muscle ache,vomiting,diarrhea
Acid Peptic Disease,,indigestion,vomiting,stomach pain
Gastroenteritis,nausea,headache,vomiting,
Migraine,vomiting,blurred vision,dizziness,sensitivity to sound
Common Cold,,,sneezing,fatigue
Pneumonia,,sweating,cough,
Asthma,difficulty breathing,shortness of breath,,fatigue
Malaria,vomiting,muscle pain,chills,fever
Hypertension,,dizziness,headache,chest pain
Hypertension,,dizziness,shortness of breath,blurred vision
Gastroenteritis,,,fever,nausea
Hypertension,blurred vision,,,dizziness
Asthma,wheezing,difficulty breathing,shortness of breath,chest pain
Typhoid,,loss of appetite,diarrhea,weakness
Pneumonia,,fatigue,chills,
Typhoid,,weakness,stomach pain,
Dengue,rash,joint pain,,severe headache
Dengue,,,muscle pain,severe headache
Dengue,severe headache,,high fever,muscle pain
Gastroenteritis,,muscle ache,headache,
Hypertension,,dizziness,headache,chest pain
Hypertension,dizziness,blurred vision,nosebleeds,headache
Common Cold,cough,congestion,sneezing,
Asthma,cough,fatigue,shortness of breath,difficulty breathing
Asthma,shortness of breath,,wheezing,cough
Diabetes,,fatigue,increased thirst,extreme hunger
Typhoid,,diarrhea,stomach pain,
Gastroenteritis,nausea,stomach pain,diarrhea,muscle ache
Migraine,,nausea,dizziness,
Viral Fever,mild cough,,fatigue,body ache
Pneumonia,chills,,difficulty breathing,chest pain
Gastroenteritis,muscle ache,nausea,headache,fever
Dengue,rash,,nausea,
Anemia,,,dizziness,weakness
Pneumonia,fever,chest pain,,chills
Anemia,chest pain,dizziness,cold hands and feet,pale skin
Gastroenteritis,muscle ache,diarrhea,,
Gastroenteritis,nausea,,headache,muscle ache
Diabetes,blurred vision,unexplained weight loss,frequent urination,increased thirst
Malaria,vomiting,sweating,wheezing,
Common Cold,congestion,headache,cough,sneezing
Pneumonia,,chills,fatigue,fever
Dengue,vomiting,joint pain,,
Malaria,fever,sweating,headache,nausea
Common Cold,fatigue,sore throat,cough,congestion
Malaria,vomiting,chills,,sweating
COVID-19,loss of taste,,muscle pain,cough
Pneumonia,chest pain,,,chills
Malaria,headache,vomiting,fever,
Malaria,nausea,chills,muscle pain,
Common Cold,,,cough,congestion
Malaria,nausea,chills,fever,vomiting
Viral Fever,fever,fatigue,mild cough,body ache
Viral Fever,sweating,fever,,
Acid Peptic Disease,vomiting,,stomach pain,indigestion
Viral Fever,,headache,body ache,
COVID-19,muscle pain,,difficulty breathing,
Malaria,chills,muscle pain,headache,fever
Dengue,rash,,muscle pain,severe headache
Malaria,fever,muscle pain,sweating,
Migraine,,dizziness,sensitivity to light,blurred vision
Anemia,fatigue,weakness,headache,pale skin
Hypertension,chest pain,shortness of breath,,
Diabetes,,fatigue,frequent urination,unexplained weight loss
Gastroenteritis,nausea,diarrhea,,vomiting
COVID-19,fever,muscle pain,cough,difficulty breathing
Anemia,weakness,cold hands and feet,pale skin,fatigue
Typhoid,loss of appetite,weakness,headache,diarrhea
Typhoid,weakness,,diarrhea,
Diabetes,increased thirst,extreme hunger,,
Anemia,weakness,pale skin,,chest pain
Migraine,headache,sensitivity to sound,vomiting,blurred vision
COVID-19,loss of taste,,cough,
Allergy,sneezing,cough,runny nose,itchy eyes
Migraine,blurred vision,,nausea,
Typhoid,,,headache,stomach pain
Anemia,pale skin,cold hands and feet,,difficulty breathing
Asthma,shortness of breath,cough,difficulty breathing,fatigue
COVID-19,muscle pain,difficulty breathing,,
Pneumonia,fever,sore throat,fatigue,
Viral Fever,body ache,mild cough,chills,fever
Typhoid,,diarrhea,weakness,
Migraine,headache,,,vomiting
Anemia,chest pain,cold hands and feet,weakness,fatigue
Gastroenteritis,,muscle ache,nausea,
Asthma,difficulty breathing,,,cough
Viral Fever,body ache,headache,fever,sweating
Malaria,vomiting,muscle pain,headache,extreme hunger
Viral Fever,sweating,,,mild cough
Diabetes,fatigue,increased thirst,frequent urination,blurred vision
Asthma,chest pain,fatigue,shortness of breath,
Diabetes,,blurred vision,fatigue,increased thirst
Acid Peptic Disease,,,heartburn,stomach pain
Asthma,fatigue,shortness of breath,difficulty breathing,chest pain
Allergy,cough,sneezing,,itchy eyes
Common Cold,runny nose,,sore throat,congestion
Anemia,cold hands and feet,pale skin,dizziness,weakness
Hypertension,chest pain,headache,shortness of breath,blurred vision
Hypertension,chest pain,shortness of breath,,headache
Pneumonia,fever,,,chest pain
Common Cold,headache,fatigue,,
Gastroenteritis,headache,muscle ache,stomach pain,vomiting
Dengue,,,severe headache,joint pain
Typhoid,weakness,indigestion,headache,stomach pain
Allergy,shortness of breath,,,runny nose
Viral Fever,mild cough,body ache,headache,chills
Acid Peptic Disease,indigestion,,,vomiting
COVID-19,,muscle pain,loss of taste,
Typhoid,,,weakness,rash
Pneumonia,fever,difficulty breathing,fatigue,cough
Anemia,dizziness,cold hands and feet,chest pain,fatigue
Acid Peptic Disease,stomach pain,heartburn,nausea,
Viral Fever,fatigue,chills,sweating,fever
Dengue,vomiting,muscle pain,nausea,
Asthma,chest pain,wheezing,,
Typhoid,loss of appetite,headache,high fever,stomach pain
Common Cold,sensitivity to sound,sore throat,sneezing,
Pneumonia,sweating,,,fever
COVID-19,fatigue,fever,,muscle pain
Typhoid,,loss of appetite,loss of smell,diarrhea
Malaria,chills,headache,vomiting,nausea
Diabetes,frequent urination,extreme hunger,blurred vision,fatigue
Diabetes,,fatigue,,blurred vision
Malaria,nausea,sweating,fever,headache
Diabetes,frequent urination,extreme hunger,,unexplained weight loss
Malaria,chills,,muscle pain,
Acid Peptic Disease,indigestion,vomiting,loss of appetite,
Dengue,vomiting,nausea,muscle pain,high fever
Typhoid,,,headache,rash
Asthma,cough,chest pain,shortness of breath,
Diabetes,increased thirst,unexplained weight loss,extreme hunger,
Anemia,pale skin,weakness,,
Asthma,cough,wheezing,shortness of breath,chest pain
Dengue,high fever,rash,severe headache,vomiting
Common Cold,cough,fatigue,congestion,runny nose
Malaria,,muscle pain,fever,chills
COVID-19,,muscle pain,loss of smell,
Allergy,,runny nose,cough,
Common Cold,,runny nose,fatigue,
Dengue,high fever,,vomiting,muscle pain
Anemia,headache,pale skin,fatigue,cold hands and feet
Asthma,difficulty breathing,wheezing,chest pain,cough
Migraine,dizziness,nausea,sensitivity to sound,headache
Acid Peptic Disease,indigestion,heartburn,,
COVID-19,loss of taste,,,muscle pain
Pneumonia,difficulty breathing,,fatigue,chills
Migraine,,dizziness,sensitivity to sound,blurred vision
Allergy,rash,shortness of breath,runny nose,itchy eyes
Acid Peptic Disease,,stomach pain,heartburn,nausea
Gastroenteritis,vomiting,fever,,severe headache
Hypertension,dizziness,nosebleeds,blurred vision,headache
Allergy,cough,shortness of breath,,
Common Cold,fatigue,sore throat,congestion,sneezing
Malaria,,vomiting,,headache
Asthma,chest pain,cough,shortness of breath,wheezing
Pneumonia,,chills,difficulty breathing,
Acid Peptic Disease,stomach pain,heartburn,,
COVID-19,cough,,muscle pain,difficulty breathing
Migraine,,,nausea,blurred vision
Anemia,chest pain,weakness,,cold hands and feet
Anemia,,chest pain,dizziness,headache
Diabetes,fatigue,,extreme hunger,blurred vision
COVID-19,,loss of taste,fever,sensitivity to sound
Hypertension,dizziness,headache,chest pain,nosebleeds
Diabetes,,dizziness,fatigue,increased thirst
Allergy,,shortness of breath,,runny nose
Diabetes,extreme hunger,blurred vision,fatigue,
Asthma,fatigue,difficulty breathing,wheezing,chest pain
Malaria,,,sweating,vomiting
Diabetes,frequent urination,extreme hunger,fatigue,blurred vision
Migraine,blurred vision,extreme hunger,sensitivity to light,vomiting
Acid Peptic Disease,,nausea,vomiting,loss of appetite
Typhoid,high fever,,,headache
Allergy,rash,sneezing,shortness of breath,itchy eyes
Common Cold,sneezing,headache,sore throat,fatigue
Hypertension,severe headache,,headache,dizziness
Anemia,chest pain,,cold hands and feet,weakness
Dengue,high fever,,,muscle pain
Dengue,rash,joint pain,,
Diabetes,,unexplained weight loss,,frequent urination
Pneumonia,difficulty breathing,sweating,extreme hunger,fever
Dengue,joint pain,,muscle pain,
Hypertension,blurred vision,headache,,
Asthma,wheezing,fatigue,difficulty breathing,
Anemia,headache,pale skin,weakness,cold hands and feet
Pneumonia,,,difficulty breathing,fatigue
Diabetes,unexplained weight loss,blurred vision,extreme hunger,increased thirst
Malaria,vomiting,,nausea,fever
Pneumonia,cough,fatigue,sweating,chest pain
COVID-19,muscle pain,,,cough
Typhoid,rash,,,diarrhea
Dengue,joint pain,,,muscle pain
Pneumonia,fever,,,chest pain
